Iter,Energy
1,-1.5191213930970449
2,-1.5778876161414122
3,-1.5662469891015476
4,-1.5904005172941875
5,-1.599575829147952
6,-1.580148239326436
7,-1.5789445116055416
8,-1.5506187633080346
9,-1.56707722633152
10,-1.5655972581839581
11,-1.5819434115928355
12,-1.5668738818629118
13,-1.551919257179634
14,-1.6079155510987173
15,-1.5606187935342621
16,-1.5580627693629012
17,-1.5277077866164126
18,-1.5922628449600558
19,-1.544031588533609
20,-1.545939110585374
21,-1.5659112719973607
22,-1.594402880180795
23,-1.5255724843224534
24,-1.5850833528813761
25,-1.5664789580767027
26,-1.56661278892248
27,-1.5605877351008224
28,-1.5593768309647176
29,-1.5844109793429282
30,-1.5809529692494437
31,-1.558229425474671
32,-1.5545573926358005
33,-1.587551465617976
34,-1.534365150935904
35,-1.615958127769406
36,-1.5746941788202102
37,-1.5926290307257642
38,-1.5662219110766127
39,-1.5684800823865097
40,-1.599856941604516
41,-1.6070301486664795
42,-1.5404294936685219
43,-1.567559063150639
44,-1.5578451624800538
45,-1.5528330279907498
46,-1.5581885812540752
47,-1.5389796522575052
48,-1.5670671488627745
49,-1.5327131654042867
50,-1.5570017993826308
51,-1.5517640925741145
52,-1.6026982423767442
53,-1.5788228287272128
54,-1.5587467232973022
55,-1.5467647755799399
56,-1.5978437041981477
57,-1.5936348044258866
58,-1.6059899259774844
59,-1.5787168929421616
60,-1.5529621739811263
61,-1.567347684549394
62,-1.5699992514245034
63,-1.5684732729860598
64,-1.5515198898583453
65,-1.6045957797158692
66,-1.5522612675426106
67,-1.5600437975512873
68,-1.5770521900956898
69,-1.6081724480851827
70,-1.5550197059370343
71,-1.5512951687214769
72,-1.5410835270586352
73,-1.5886127141047404
74,-1.5485498862865508
75,-1.5881966584082643
76,-1.5364468530520952
77,-1.5765421034839657
78,-1.5473257590605078
79,-1.5805655665011533
80,-1.5664074927636933
81,-1.5951666105198743
82,-1.5927175360467316
83,-1.5851081610394122
84,-1.5939981859662915
85,-1.5657921255791336
86,-1.538906111027789
87,-1.5779573737853103
88,-1.5989443605201785
89,-1.5898265243709384
90,-1.5965569396751975
91,-1.5480927822759902
92,-1.56422601481416
93,-1.579286449904817
94,-1.5682240386352722
95,-1.588152292328276
96,-1.5887331178737982
97,-1.5583912760770506
98,-1.5141680629434247
99,-1.5908048018557983
100,-1.5902622234427293
101,-1.5254555557149552
102,-1.5896554432573338
103,-1.5512765057370748
104,-1.5344620191346856
105,-1.586539120802205
106,-1.563063777357652
107,-1.5861271430072361
108,-1.5846052344462775
109,-1.5394141749281172
110,-1.5460858182151855
111,-1.5679668348163922
112,-1.588115474152598
113,-1.5605211908336605
114,-1.5213410724016558
115,-1.6091303517917381
116,-1.57916765739773
117,-1.5710687110514083
118,-1.5662560610924883
119,-1.5614235353311057
120,-1.573063346198117
121,-1.5992533067778743
122,-1.5762026424519227
123,-1.558177754465572
124,-1.5672201474556826
125,-1.573386798035892
126,-1.576544989481629
127,-1.568391133252865
128,-1.5416418773506881
129,-1.5948008987854527
130,-1.5717258435173975
131,-1.5799542634886632
132,-1.541643517557289
133,-1.6010272107843206
134,-1.5749149957923338
135,-1.5938396952953868
136,-1.5783861528473708
137,-1.5545118590127642
138,-1.5424266739994905
139,-1.5759454058942755
140,-1.5448401185463372
141,-1.5940104081335251
142,-1.5557883978639202
143,-1.5716019515786153
144,-1.6096623320350314
145,-1.5733605786368916
146,-1.5645389547831894
147,-1.5670091947626532
148,-1.5741807747326135
149,-1.558035124185813
150,-1.5851503060656973
151,-1.612248233887688
152,-1.5314550784903451
153,-1.578602639039688
154,-1.5497396821772274
155,-1.5473376858581267
156,-1.5580075243493114
157,-1.57293160229848
158,-1.5774150014433197
159,-1.5843029590284199
160,-1.5981226605540413
161,-1.571304318759009
162,-1.570929194042208
163,-1.5985467783572112
164,-1.574813688410083
165,-1.5381703350447675
166,-1.5733333915845096
167,-1.5822149117369468
168,-1.5817502063960236
169,-1.578414887865059
170,-1.5888521058859444
171,-1.57592326365487
172,-1.59640493992595
173,-1.4986955705669982
174,-1.5725616253039
175,-1.5351320200713996
176,-1.5582216506591973
177,-1.6173032626713832
178,-1.5439961761544345
179,-1.5296610667929196
180,-1.5750430071698083
181,-1.577360116384737
182,-1.5660109797376385
183,-1.5891519366603972
184,-1.5513426418858083
185,-1.5739444760429606
186,-1.5517299081422609
187,-1.6007814584607696
188,-1.573658660185405
189,-1.5804501107551057
190,-1.5776647149412646
191,-1.582373793481329
192,-1.5786051955745717
193,-1.572944007955695
194,-1.5287058262908997
195,-1.5664003745185413
196,-1.5644630095353669
197,-1.5901399881581375
198,-1.586718860287721
199,-1.5953472905796544
200,-1.5561613023697412
